OPE ID,School,State,Zip Code,School Type,20152016Qtr3_Dependent Students,20152016Qtr3_Independent Students,Quarterly Total,YTD_20152016Qtr3_Dependent Students,YTD_20152016Qtr3_Independent Students,Award Year To Date Total
02125200,SCHOOL OF NURSING BEEBE MEDICAL CENTER  ,DE,19958-1462,Private      ,9,22,31,72,113,185
02190400,SCHILLING DOUGLAS SCH OF HAIR DSGN      ,DE,19711-0000,Proprietary  ,19,24,43,80,93,173
02586902,STAR TECHNICAL INSTITUTE -              ,DE,19901-4615,Proprietary  ,1,22,23,19,93,112
03025800,DAWN TRAINING CENTRE                    ,DE,19805-1511,Proprietary  ,33,149,182,97,431,528
03543300,HARRIS SCHOOL OF BUSINESS               ,DE,19803-5341,Proprietary  ,43,168,211,90,336,426
03702300,DELAWARE LEARNING INSTITUTE OF COSMETOLO,DE,19939-9759,Proprietary  ,13,22,35,36,83,119
04130700,ACADEMY OF MASSAGE AND BODYWORK         ,DE,19701-1321,Proprietary  ,8,25,33,26,77,103
04139800,DELAWARE COLLEGE OF ART & DESIGN        ,DE,19801-3007,Private      ,44,38,82,403,169,572
04171100,PAUL MITCHELL THE SCHOOL-DELAWARE       ,DE,19702-5108,Proprietary  ,37,34,71,96,109,205
        ,FEDERAL STUDENT AID USE ONLY            ,DC,20202-0000,,0,0,0,0,1,1
00143400,AMERICAN UNIVERSITY                     ,DC,20016-8020,Private      ,294,934,1228,13846,8737,22583
00143700,CATHOLIC UNIVERSITY OF AMERICA          ,DC,20064-0002,Private      ,215,481,696,5229,2272,7501
00143711,"CATHOLIC UNIV AMERICA, LAW SCHOOL       ",DC,20064-0000,Private      ,2,82,84,43,923,966
00144100,UNIV OF THE DISTRICT OF COLUMBIA        ,DC,20008-0000,Public       ,374,1298,1672,2719,5986,8705
00144102,UNIV OF THE DIST OF COLU -SCHOOL OF LAW ,DC,20008-1173,Public       ,6,105,111,73,831,904
00144300,GALLAUDET UNIVERSITY                    ,DC,20002-3695,Private      ,135,199,334,918,1093,2011
00144400,GEORGE WASHINGTON UNIVERSITY            ,DC,20052-2353,Private      ,546,1934,2480,14261,11087,25348
00144402,GEORGE WASHINGTON UNIV LAW SCHL         ,DC,20052-0000,Private      ,7,263,270,73,3657,3730
00144403,GEORGE WASHINGTON UNIV SCH MED          ,DC,20052-0000,Private      ,9,130,139,95,1564,1659
00144437,GEORGE WASHINGTON UNIVERSITY            ,DC,20006-4804,Private      ,0,0,0,524,281,805
00144500,GEORGETOWN UNIVERSITY                   ,DC,20057-1252,Private      ,367,811,1178,12255,4362,16617
00144501,"GEORGETOWN UNIV, SCH OF MEDICINE        ",DC,20007-0000,Private      ,6,77,83,67,1209,1276
00144502,GEORGETOWN UNIVERSITY - GRADUATE SCHOOL ,DC,20057-0004,Private      ,5,639,644,64,4073,4137
00144503,GEORGETOWN UNIV LAW CENTER              ,DC,20001-0000,Private      ,7,273,280,56,4787,4843
00144800,HOWARD UNIVERSITY                       ,DC,20059-0001,Private      ,696,987,1683,15580,8320,23900
00145900,STRAYER UNIVERSITY                      ,DC,20005-2603,Proprietary  ,498,10006,10504,1591,42036,43627
00146000,TRINITY UNIVERSITY                      ,DC,20017-1004,Private      ,109,617,726,1379,2373,3752
00146400,WESLEY THEOLOGICAL SEMINARY             ,DC,20016-0000,Private      ,0,71,71,0,352,352
00207701,JOHNS HOPKINS UNIV SCH ADV INTL STU     ,DC,20036-0000,Private      ,6,121,127,75,1368,1443
01280300,DOMINICAN HOUSE OF STUDIES              ,DC,20017-1584,Private      ,0,3,3,1,20,21
02132800,NAT'L CONSERVATORY DRAMATIC ARTS        ,DC,20007-2758,Private      ,3,9,12,15,48,63
03104300,CAREER BLAZERS LEARNING CENTER OF WASHIN,DC,20037-1881,Proprietary  ,31,301,332,54,607,661
03218300,POTOMAC COLLEGE                         ,DC,20016-1860,Proprietary  ,13,58,71,46,218,264
03409600,BENNETT CAREER INSTITUTE                ,DC,20017-1754,Proprietary  ,32,108,140,89,307,396
03750300,TECHNICAL LEARNING CENTERS              ,DC,20006-3749,Proprietary  ,60,272,332,141,639,780
04114400,INSTITUTE OF WORLD POLITICS (THE)       ,DC,20036-1464,Private      ,0,32,32,7,144,151
04142700,PONTIFICAL JOHN PAUL II INSTITUTE FOR ST,DC,20064-0001,Private      ,0,4,4,1,19,20
04190000,RADIANS COLLEGE                         ,DC,20005-3542,Proprietary  ,18,222,240,68,984,1052
04202500,GRADUATE SCHOOL                         ,DC,20024-2520,Private      ,1,45,46,8,125,133
00154100,ABRAHAM BALDWIN AGRICULTURAL CLG        ,GA,31794-0000,Public       ,544,406,950,3323,1553,4876
00154200,AGNES SCOTT COLLEGE                     ,GA,30030-3770,Private      ,55,94,149,1549,490,2039
00154300,DARTON COLLEGE                          ,GA,31707-3098,Public       ,972,1862,2834,3953,6415,10368
00154400,ALBANY STATE UNIVERSITY                 ,GA,31705-2796,Public       ,828,1332,2160,6470,4980,11450
00154500,ANDREW COLLEGE                          ,GA,39840-1395,Private      ,90,20,110,418,83,501
00154600,ARMSTRONG ATLANTIC STATE UNIVERSITY     ,GA,31419-1997,Public       ,805,1316,2121,6440,6072,12512
00154700,POINT UNIVERSITY                        ,GA,30344-1999,Private      ,228,226,454,1082,968,2050
00155400,BERRY COLLEGE                           ,GA,30149-5007,Private      ,167,67,234,3979,335,4314
00155500,THOMAS UNIVERSITY                       ,GA,31792-7499,Private      ,126,384,510,512,1288,1800
00155600,BRENAU UNIVERSITY                       ,GA,30501-3668,Private      ,174,815,989,1647,3509,5156
00155700,BREWTON PARKER COLLEGE                  ,GA,30445-0000,Private      ,106,50,156,503,167,670
00155800,COLLEGE OF COASTAL GEORGIA              ,GA,31520-3644,Public       ,484,634,1118,2468,2241,4709
00155900,CLARK ATLANTA UNIVERSITY                ,GA,30314-4385,Private      ,1028,1086,2114,10064,5279,15343
00156000,COLUMBIA THEOLOGICAL SEMINARY           ,GA,30031-0000,Private      ,4,48,52,9,226,235
00156100,COLUMBUS STATE UNIVERSITY               ,GA,31907-5645,Public       ,991,1552,2543,6751,6553,13304
00156200,GEORGIA PERIMETER COLLEGE               ,GA,30021-0000,Public       ,3705,5190,8895,15046,19696,34742
00156300,EMMANUEL COLLEGE                        ,GA,30639-0000,Private      ,138,48,186,938,160,1098
00156400,EMORY UNIVERSITY                        ,GA,30322-1960,Private      ,461,1197,1658,13747,9855,23602
00156600,FORT VALLEY STATE UNIVERSITY            ,GA,31030-3298,Public       ,530,677,1207,3815,2640,6455
00156800,INTERDENOMINATIONAL THEOLOGY CENTER     ,GA,30314-0000,Private      ,4,131,135,7,456,463
00156900,GEORGIA INSTITUTE OF TECHNOLOGY         ,GA,30332-0325,Public       ,1223,1105,2328,23900,6181,30081
00157100,GEORGIA MILITARY COLLEGE                ,GA,31061-3398,Public       ,1857,2434,4291,5539,6653,12192
00157200,GEORGIA SOUTHERN UNIVERSITY             ,GA,30460-8065,Public       ,2053,1556,3609,23261,7968,31229
00157300,GEORGIA SOUTHWESTERN STATE UNIV         ,GA,31709-4693,Public       ,343,463,806,2706,2151,4857
00157400,GEORGIA STATE UNIVERSITY                ,GA,30303-3010,Public       ,4583,5423,10006,34154,25962,60116
00157500,GORDON COLLEGE                          ,GA,30204-1762,Public       ,857,664,1521,4298,2578,6876
00157700,KENNESAW STATE UNIVERSITY               ,GA,30144-5591,Public       ,3766,3474,7240,30912,17148,48060
00157706,KENNESAW STATE UNIVERSITY - MARIETTA CAM,GA,30060-2855,Public       ,623,916,1539,4214,3187,7401
00157800,LAGRANGE COLLEGE                        ,GA,30240-2999,Private      ,141,114,255,1546,557,2103
00157900,GEORGIA REGENTS UNIVERSITY              ,GA,30912-0004,Public       ,567,950,1517,5304,6347,11651
00158000,MERCER UNIVERSITY                       ,GA,31207-0003,Private      ,584,1700,2284,6322,8471,14793
00158100,MIDDLE GEORGIA STATE COLLEGE            ,GA,31014-1599,Public       ,946,1201,2147,6160,5408,11568
00158200,MOREHOUSE COLLEGE                       ,GA,30314-3773,Private      ,443,290,733,4117,1274,5391
00158500,UNIVERSITY OF NORTH GEORGIA             ,GA,30597-0001,Public       ,1994,1117,3111,14568,5472,20040
00158600,OGLETHORPE UNIVERSITY                   ,GA,30319-2737,Private      ,152,126,278,2302,612,2914
00158700,PAINE COLLEGE                           ,GA,30901-3182,Private      ,214,180,394,1051,639,1690
00158800,PIEDMONT COLLEGE                        ,GA,30535-5644,Private      ,161,416,577,1270,1672,2942
00158900,REINHARDT UNIVERSITY                    ,GA,30183-2981,Private      ,210,160,370,1561,691,2252
00159000,SAVANNAH STATE UNIVERSITY               ,GA,31404-5298,Public       ,1223,965,2188,8166,3806,11972
00159100,SHORTER UNIVERSITY                      ,GA,30165-4298,Private      ,234,414,648,1797,1925,3722
