,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
2009,37.8,29605.0,5690.0,39267.0,17858.0,"Caddo County, Oklahoma",015,40,2013
2010,35.7,119546.0,8182.0,63629.0,27552.0,"Canadian County, Oklahoma",017,40,2013
2011,38.2,47904.0,7662.0,41401.0,21476.0,"Carter County, Oklahoma",019,40,2013
2012,34.6,47488.0,10383.0,37260.0,18582.0,"Cherokee County, Oklahoma",021,40,2013
2013,40.7,15167.0,4047.0,30201.0,17739.0,"Choctaw County, Oklahoma",023,40,2013
2014,44.8,2432.0,479.0,38301.0,23514.0,"Cimarron County, Oklahoma",025,40,2013
2015,32.7,261047.0,32125.0,54989.0,26920.0,"Cleveland County, Oklahoma",027,40,2013
2016,40.9,5927.0,1264.0,34867.0,19752.0,"Coal County, Oklahoma",029,40,2013
2017,31.5,124591.0,19860.0,46036.0,22363.0,"Comanche County, Oklahoma",031,40,2013
2018,40.2,6166.0,882.0,46317.0,21452.0,"Cotton County, Oklahoma",033,40,2013
2019,42.4,14869.0,2495.0,39236.0,19820.0,"Craig County, Oklahoma",035,40,2013
2020,40.2,70246.0,10208.0,43026.0,22327.0,"Creek County, Oklahoma",037,40,2013
2021,30.6,28092.0,5089.0,44972.0,23261.0,"Custer County, Oklahoma",039,40,2013
2022,45.2,41394.0,8658.0,36588.0,21109.0,"Delaware County, Oklahoma",041,40,2013
2023,42.3,4800.0,664.0,46488.0,24860.0,"Dewey County, Oklahoma",043,40,2013
2024,44.6,4120.0,652.0,47344.0,27183.0,"Ellis County, Oklahoma",045,40,2013
2025,37.0,60956.0,8235.0,44530.0,24177.0,"Garfield County, Oklahoma",047,40,2013
2026,39.8,27410.0,5140.0,38245.0,21285.0,"Garvin County, Oklahoma",049,40,2013
2027,38.2,52855.0,7239.0,49637.0,23500.0,"Grady County, Oklahoma",051,40,2013
2028,45.3,4522.0,386.0,46625.0,27469.0,"Grant County, Oklahoma",053,40,2013
2029,40.7,6178.0,499.0,39900.0,17969.0,"Greer County, Oklahoma",055,40,2013
